playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
bennega01,2005,1,WAS,NL,68,199,11,44,7,0,1,21,0,1,21,37,3,2,3,3,7
benoijo01,2005,1,TEX,AL,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bensokr01,2005,1,NYN,NL,28,49,4,9,1,0,0,6,0,0,5,22,0,1,6,0,0
bentzch01,2005,1,FLO,NL,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bergmja01,2005,1,WAS,NL,15,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0
bergowi01,2005,1,CIN,NL,17,38,3,5,0,0,0,1,0,0,0,10,0,0,0,0,1
berkmla01,2005,1,HOU,NL,132,468,76,137,34,1,24,82,4,1,91,72,12,4,0,2,18
bernead01,2005,1,ATL,NL,36,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
berroan01,2005,1,KCA,AL,159,608,68,164,21,5,11,55,7,5,18,108,3,14,10,2,13
betanra01,2005,1,CLE,AL,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
betanyu01,2005,1,SEA,AL,60,211,24,54,11,5,1,15,1,3,11,24,0,2,2,2,2
betemwi01,2005,1,ATL,NL,115,246,36,75,12,4,4,20,1,3,22,55,4,0,4,2,5
bigbila01,2005,1,BAL,AL,67,206,22,51,9,1,5,21,3,3,21,49,1,0,5,2,2
bigbila01,2005,2,COL,NL,23,66,5,14,1,1,0,2,2,0,3,18,0,1,0,0,0
biggicr01,2005,1,HOU,NL,155,590,94,156,40,1,26,69,11,1,37,90,2,17,4,3,10
blakeca01,2005,1,CLE,AL,147,523,72,126,32,1,23,58,4,5,43,116,3,10,2,5,9
blaloha01,2005,1,TEX,AL,161,647,80,170,34,0,25,92,1,0,51,132,1,3,0,4,16
blancan01,2005,1,KCA,AL,26,79,6,17,0,1,0,5,0,1,0,5,0,1,4,2,3
